depth,hol_id,temperature,temperature_gradient,oxygen,fluorescence,turbidity,light
0.0,8A,15.398316666666666,0.0,6.060366666666667,0.052008,0.013999999999999999,1809.9333333333334
0.5,8A,15.391994222222221,-1.2330833333333313,6.0574319999999995,0.04992415555555555,0.04504444444444444,1568.888888888889
1.0,8A,15.1517,-1.5067211111111067,5.8334,0.64698,0.1945,1030.12
1.5,8A,15.09065,-0.39683333333333515,5.809699999999999,0.9891650000000001,0.504,442.03
2.0,8A,15.072333333333333,-0.01003787878787854,5.9759,1.0037966666666667,0.524,344.2033333333333
2.5,8A,14.761187091949537,0.03586666666667071,6.932411326245285,1.2477485131356483,1.268807387176486,265.48716331772664
3.0,8A,14.744365000000002,-0.09511045974769594,7.292626666666667,1.3510733333333333,0.54565,269.5731666666667
3.5,8A,14.742165,-0.002541666666675546,7.301961666666666,1.3746616666666667,0.6464333333333333,225.82366666666667
4.0,8A,14.743856666666666,0.033487500000002335,7.307313333333334,1.4125699999999999,0.5548333333333333,187.63526666666667
4.5,8A,14.7488625,0.03677916666667169,7.307625,1.3033125,0.528375,165.655625
5.0,8A,14.751212500000001,-0.13272499999999798,7.302137500000001,1.2995,0.519875,139.985875
5.5,8A,14.722317499999999,-0.25193750000000126,7.303532499999999,1.3571725000000001,0.54985,119.7577
6.0,8A,14.700825,-0.1999625000000016,7.3050375,1.614325,0.560875,100.202375
6.5,8A,14.682324999999999,-0.1331666666666642,7.31905,1.79625,0.695125,85.748375
7.0,8A,14.674191666666667,-0.08606249999999704,7.320891666666666,1.8839958333333335,0.5861666666666667,76.34791666666666
7.5,8A,14.6651125,-0.08165833333333872,7.32205,2.0096958333333332,0.5431666666666667,66.715625
8.0,8A,14.65786,-0.05316666666666858,7.31629,2.104425,0.50935,57.4064
8.5,8A,14.654479166666667,-0.04186249999999614,7.314170833333334,2.1681375000000003,0.5934583333333334,50.58316666666666
9.0,8A,14.6494875,-0.06883333333333574,7.305312499999999,2.2183,0.48924999999999996,43.43875
9.5,8A,14.6407125,-0.07375000000000131,7.300429166666667,2.255195833333333,0.5249583333333333,37.86383333333333
10.0,8A,14.6347375,-0.05406249999999613,7.306595833333333,2.3144166666666663,0.528,33.907916666666665
